publisher,country
1C Company,Russia
2K Games,United States
2K Sports,United States
3DO,United States
505 Games,Italy
8-4,Japan
989 Studios,United States
AIA,United Kingdom
AQ Interactive,Japan
ASC Games,United States
ASCII Entertainment,Japan
Acclaim Entertainment,United States
Accolade,United States
Activision,United States
Activision Value,United States
Agetec,United States
Aksys Games,United States
Arc System Works,Japan
Aspyr,United States
Atari,United States
Atlus,Japan
BAM! Entertainment,United States
Bandai,Japan
Bandai Namco Entertainment,Japan
Bethesda Softworks,United States
Blizzard Entertainment,United States
Buena Vista,United States
CDV Software Entertainment,Germany
Capcom,Japan
City Interactive,Poland
Codemasters,United Kingdom
Conspiracy Entertainment,United States
Crave Entertainment,United States
Crystal Dynamics,United States
D3 Publisher,Japan
D3Publisher,Japan
DSI Games,United States
DTMC,Japan
Deep Silver,Germany
"Destination Software Inc",United States
Destineer,United States
Disney Interactive Studios,United States
DotEmu,France
DreamCatcher Interactive,Canada
EA Sports,United States
EA Sports BIG,United States
ESP,Japan
Eidos Interactive,United Kingdom
Electronic Arts,United States
Empire Interactive,United Kingdom
Encore,United States
Enix,Japan
Excalibur Publishing,United Kingdom
FDG Entertainment,Germany
Focus Home Interactive,France
Fortyfive,Japan
Fox Interactive,United States
From Software,Japan
Frozenbyte,Finland
Funcom,Norway
GT Interactive,United States
Game Factory,Switzerland
GameMill Entertainment,United States
GameTrust,United States
Gamecock,United States
Gathering of Developers,United States
"Genius Products Inc.",United States
Global Star Software,United States
Got Game Entertainment,United States
Gotham Games,United States
Graffiti,United States
Grey Box,United States
GungHo Online Entertainment,Japan
Hasbro Interactive,United States
Headup Games,Germany
Hello Games,United Kingdom
Hip Interactive,Canada
Hot-B,Japan
Hudson Entertainment,United States
Hudson Soft,Japan
Human Entertainment,Japan
Ignition Entertainment,United Kingdom
Infogrames,France
Interplay,United States
Jaleco,Japan
JoWood Productions,Austria
KOEI,Japan
Kalypso,Germany
Kemco,Japan
King Games,Sweden
Knowledge Adventure,United States
Koch Media,Austria
Koei Tecmo,Japan
Konami,Japan
Konami Digital Entertainment,Japan
LEGO Media,United Kingdom
Lionhead Studios,United Kingdom
LucasArts,United States
MTV Games,United States
Mad Catz,Canada
Majesco,United States
Marvelous Interactive,Japan
Mastiff,United States
Mattel Interactive,United States
Maximum Games,United States
Maxis,United States
Merge Games,United Kingdom
Meridian4,Canada
Metro 3D,United States
Microids,France
Microprose,United States
Microsoft,United States
Microsoft Game Studios,United States
Microsoft Studios,United States
Midway Games,United States
Mindscape,France
Mojang,Sweden
Mumbo Jumbo,United States
NCSoft,South Korea
NEC Interchannel,Japan
NIS America,United States
Namco,Japan
Namco Bandai,Japan
Namco Bandai Games,Japan
Natsume,Japan
NewKidCo,United States
Nicalis,United States
Nintendo,Japan
Nippon Ichi Software,Japan
Nobilis,France
Nordic Games,Austria
O3 Entertainment,United States
Ocean,United Kingdom
Outright Games,United Kingdom
O~3 Entertainment,United States
PM Studios,United States
Paradox Interactive,Sweden
Perfect World Entertainment,United States
Phantom EFX,United States
Playlogic Game Factory,Netherlands
Playmates,Hong Kong
Polykid,France
PopCap Games,United States
Psygnosis,United Kingdom
Psyonix Studios,United States
Rain Games,Norway
Rare,United Kingdom
Red Mile Entertainment,United States
RedOctane,United States
Rising Star,United Kingdom
Rising Star Games,United Kingdom
Rockstar Games,United States
SNK,Netherlands
SNK Playmore,Japan
SSI,United States
Sammy Corporation,Japan
Sega,Japan
Shin'en,Germany
Sierra Entertainment,United States
Soedesco,Netherlands
Sold Out,United Kingdom
Sony Computer Entertainment,Japan
Sony Computer Entertainment America,United States
Sony Interactive Entertainment,Japan
Sony Online Entertainment,United States
SouthPeak Interactive,United States
Square,Japan
Square EA,Japan
Square Enix,Japan
Strategy First,Canada
Studio Wildcard,United States
TDK Core,United States
TDK Mediactive,United States
THQ,United States
THQ Nordic,Austria
Taito,Japan
Take-Two Interactive,United States
Team 17,United Kingdom
Team17 Software,United Kingdom
Techland,Poland
Tecmo,Japan
Tecmo Koei,Japan
Telegames,United Kingdom
Telltale Games,United States
The Adventure Company,Canada
The Fullbright Company,United States
Thomas Happ Games,United States
Titus,France
Toby Fox,United States
Tommo,United States
Touchstone,United States
Tripwire Interactive,United States
UFO Interactive,United States
Ubisoft,France
Ultra Games,United States
Universal Interactive,United States
Unknown,Unknown
VU Games,United States
Valve,United States
Vatical Entertainment,United States
Victory Lap Games,Canada
Villa Gorilla,Sweden
Virgin Interactive,United Kingdom
Visco,Japan
Viva Media,United States
Vivendi Games,United States
Wargaming.net,Cyprus
Warner Bros. Interactive,United States
Warner Bros. Interactive Entertainment,United States
WayForward Technologies,United States
Westwood Studios,United States
Working Designs,United States
Xseed Games,United States
id Software,United States
