Marca temporal,¿Plataformas de Juego Favorita?,¿Género favorito de videojuego?,Qué modalidad de juego prefieres?,¿Aspecto que valoras más en un videojuego?
1/05/2026 20:45:27,"PS2, PS4, Xbox 360, PC, Mobile","Acción, Aventura, Terror, Plataformas, Ritmo, Soulslike, Party Games","PVE, SinglePlayer, Cooperativo","Música, Ambiente, Historia, Jugabilidad, Dificultad, Narrativa"
1/05/2026 20:48:58,PC,"Shooter, Ritmo, MOBA","PVP, Multijugador","Multijugador, Dificultad"
1/05/2026 21:09:29,"PS4, Nintendo Switch, Nintendo DS, PC","Aventura, Shooter, Simulación, Estrategia, Terror, RTS","PVP, PVE, SinglePlayer, Cooperativo, Multijugador, Arcade","Música, Ambiente, Gráficos, Historia, Jugabilidad, Innovación, Duración, Dificultad, Narrativa"
1/05/2026 21:10:55,PC,"Aventura, Carreras, Soulslike","PVP, PVE, Multijugador",Jugabilidad
1/05/2026 22:28:18,"PC, Mobile","Terror, Sandbox, Battle Royale, Ritmo","PVP, PVE, SinglePlayer, Cooperativo, Multijugador, Battle Royale","Gráficos, Jugabilidad, Innovación"
1/05/2026 22:28:38,PC,"Sandbox, Ritmo","SinglePlayer, Multijugador","Jugabilidad, Innovación"
1/05/2026 22:30:12,"Wii, PC, Gameboy Advance","Shooter, Terror, MMO, MOBA, RTS","PVP, Cooperativo, Multijugador","Música, Jugabilidad, Multijugador, Dificultad"
1/05/2026 22:35:54,PC,"Puzzle, Plataformas, Ritmo","PVE, SinglePlayer, Cooperativo, Multijugador","Música, Historia, Jugabilidad"
1/05/2026 22:37:18,"PS3, PS4, PS5","Acción, Soulslike","SinglePlayer, Multijugador, Battle Royale","Música, Ambiente, Gráficos, Historia, Jugabilidad, Innovación, Multijugador, Duración, Dificultad, Narrativa"
1/05/2026 22:39:21,"Nintendo Switch, PC","Aventura, Puzzle, Plataformas, Battle Royale, Ritmo, Soulslike, MMO, MOBA, Party Games","PVP, PVPVE, Cooperativo, Multijugador","Música, Gráficos, Jugabilidad, Multijugador, Dificultad"
1/05/2026 22:39:58,PC,"Shooter, Battle Royale","PVP, Multijugador","Multijugador, Dificultad"
1/05/2026 22:40:21,"PC, Mobile","Shooter, Puzzle, Sandbox, Ritmo","PVP, PVE, PVPVE, SinglePlayer, Cooperativo, Multijugador, Battle Royale, Arcade","Música, Gráficos, Jugabilidad, Innovación, Duración, Dificultad, Narrativa"
1/05/2026 22:40:54,"Nintendo Switch, Wii, PC","Aventura, RPG/JRPG, Terror, Ritmo, Soulslike, MMO","SinglePlayer, Multijugador","Música, Ambiente, Jugabilidad, Dificultad, Narrativa"
1/05/2026 22:41:36,PC,"Shooter, Sandbox, Fighting, Ritmo","PVP, PVE, SinglePlayer, Cooperativo, Multijugador, Battle Royale, Arcade","Música, Ambiente, Jugabilidad, Innovación, Multijugador, Dificultad"
1/05/2026 22:49:56,PC,"Acción, Aventura, Shooter, Puzzle, Terror, Carreras, Plataformas, Sandbox, Fighting, Ritmo, MOBA, Party Games","PVE, SinglePlayer, Cooperativo, Multijugador","Jugabilidad, Innovación, Duración, Dificultad"
1/05/2026 22:51:06,"PC, Mobile","Sandbox, MOBA, Gacha",Cooperativo,"Gráficos, Jugabilidad"
1/05/2026 23:36:07,PC,Ritmo,PVP,"Gráficos, Jugabilidad, Multijugador"
2/05/2026 0:46:31,"PS2, PS Vita, Wii, PC, Mobile","Acción, Aventura, RPG/JRPG, Shooter, Deportes, Simulación, Estrategia, Puzzle, Terror, Carreras, Sandbox, Ritmo, Soulslike, MMO, MOBA, Party Games","PVP, SinglePlayer, Cooperativo, Multijugador, Battle Royale, Arcade","Música, Gráficos, Jugabilidad, Multijugador, Duración, Dificultad, Narrativa"
2/05/2026 1:50:45,"Nintendo Switch, PC, Nintendo 3DS","RPG/JRPG, Carreras, Sandbox, Ritmo, Party Games, Rogue-like","SinglePlayer, Cooperativo, Multijugador","Música, Ambiente, Jugabilidad, Narrativa"
2/05/2026 12:58:36,"Nintendo Switch, Wii, Wii U, Nintendo DS, PC, Mobile","Aventura, Shooter, Puzzle, Plataformas, Sandbox, Ritmo, Party Games","PVP, Cooperativo, Multijugador, Battle Royale","Música, Gráficos, Jugabilidad, Multijugador, Duración, Dificultad"
2/05/2026 14:29:31,Xbox 360,"Shooter, Sandbox","PVP, PVPVE","Ambiente, Historia, Narrativa"
2/05/2026 14:36:01,PC,MMO,PVE,Jugabilidad
2/05/2026 14:38:54,"PS4, PC","Acción, Aventura, Shooter, Terror, MOBA","PVP, Multijugador, Battle Royale","Música, Ambiente, Gráficos, Historia, Narrativa"
2/05/2026 18:07:52,PS4,Deportes,"SinglePlayer, Multijugador","Gráficos, Historia, Jugabilidad, Dificultad, Narrativa"
2/05/2026 18:37:57,"PS3, PS4, PS5, PC, Mobile","Shooter, Deportes, Plataformas, Sandbox, Battle Royale, MOBA, Party Games","PVP, PVE, PVPVE, SinglePlayer, Cooperativo, Multijugador, Battle Royale, Arcade","Música, Ambiente, Historia, Jugabilidad, Dificultad"
2/05/2026 18:46:08,"Nintendo Switch, PC","Aventura, Carreras, Soulslike","PVP, PVE, Multijugador",Jugabilidad
2/05/2026 18:48:19,"Xbox 360, Nintendo Switch, PC","Acción, Aventura, RPG/JRPG, Shooter, Sandbox, Battle Royale","PVP, PVE, Cooperativo, Multijugador","Música, Ambiente, Gráficos, Historia, Jugabilidad, Duración, Dificultad, Narrativa"
2/05/2026 19:29:18,PC,"Shooter, Plataformas, Soulslike","SinglePlayer, Multijugador","Música, Jugabilidad, Dificultad"
2/05/2026 19:43:48,"PS2, PS4, Wii, PC, Mobile","Acción, Aventura, Shooter, Deportes, Simulación, Estrategia, Carreras, Sandbox, Fighting, RTS","SinglePlayer, Multijugador, Arcade","Ambiente, Historia, Jugabilidad, Multijugador, Dificultad"
2/05/2026 19:48:34,"PC, Mobile","Estrategia, Plataformas, Sandbox, Ritmo, MOBA","PVE, SinglePlayer, Cooperativo","Música, Historia, Jugabilidad, Narrativa"
3/05/2026 0:26:47,PC,"Plataformas, Fighting, Ritmo","SinglePlayer, Multijugador","Música, Jugabilidad, Innovación"
3/05/2026 12:34:46,PC,"Acción, Shooter, Puzzle","PVP, Cooperativo, Multijugador",Jugabilidad
3/05/2026 13:07:05,"PS3, PC, Mobile","Aventura, RPG/JRPG, Simulación, Estrategia, Terror, Sandbox, Battle Royale","PVE, SinglePlayer, Cooperativo, Battle Royale","Música, Ambiente, Gráficos, Historia, Jugabilidad, Innovación, Dificultad, Narrativa"
3/05/2026 13:31:45,PC,"Acción, Aventura, Plataformas, Sandbox, Ritmo, Soulslike","PVE, SinglePlayer, Cooperativo, Multijugador","Música, Historia, Narrativa"
3/05/2026 14:09:17,PC,"Acción, Aventura, RPG/JRPG, Shooter, Plataformas, Sandbox, Ritmo","Cooperativo, Multijugador","Música, Ambiente, Gráficos, Historia, Jugabilidad, Narrativa"
3/05/2026 14:09:58,PC,"Acción, Puzzle, Plataformas, Fighting, Ritmo, Soulslike, MOBA","PVE, SinglePlayer","Ambiente, Jugabilidad, Dificultad"
3/05/2026 14:26:47,"PS2, PS4, PC","Shooter, Estrategia, Sandbox, RTS","PVP, PVE, SinglePlayer, Multijugador","Música, Ambiente, Historia, Jugabilidad"
3/05/2026 14:53:33,"PS2, PS3, Wii, PC, Super Famicom","Acción, Aventura, RPG/JRPG, Shooter, Puzzle, Terror, Carreras, Plataformas, Sandbox, Soulslike, Party Games","PVP, PVE, PVPVE, SinglePlayer, Cooperativo, Multijugador, Battle Royale","Música, Ambiente, Gráficos, Historia, Innovación, Dificultad, Narrativa"
3/05/2026 15:05:08,"PS4, PC","Aventura, Estrategia, Sandbox, Soulslike, MOBA","PVE, Cooperativo","Música, Ambiente, Jugabilidad"
3/05/2026 20:08:20,PC,"Acción, Aventura, RPG/JRPG, Shooter, Sandbox, Battle Royale","SinglePlayer, Cooperativo, Multijugador, Battle Royale","Música, Ambiente, Historia, Jugabilidad, Narrativa"
3/05/2026 21:04:41,PC,"Acción, Aventura, Shooter, Estrategia, Plataformas, Sandbox, Fighting, RTS","SinglePlayer, Cooperativo, Multijugador","Música, Ambiente, Historia, Jugabilidad, Multijugador, Narrativa"
3/05/2026 21:23:02,"PS4, PS5, Xbox 360, Wii, Nintendo DS, PC","Aventura, RPG/JRPG, Puzzle, Terror, MMO","SinglePlayer, Arcade","Música, Ambiente, Historia, Jugabilidad, Innovación, Dificultad, Narrativa"
